    PID TTY      STAT   TIME COMMAND
    110 ?        S      0:00 [ksoftirqd/15]
    111 ?        I      0:00 [kworker/15:0-mm_percpu_wq]
    112 ?        I<     0:00 [kworker/15:0H-events_highpri]
    113 ?        S      0:00 [cpuhp/16]
    114 ?        S      0:00 [idle_inject/16]
    115 ?        S      0:00 [migration/16]
    116 ?        S      0:00 [ksoftirqd/16]
    118 ?        I<     0:00 [kworker/16:0H-events_highpri]
    119 ?        S      0:00 [rcu_exp_par_gp_kthread_worker/2]
    120 ?        S      0:00 [cpuhp/17]
    121 ?        S      0:00 [idle_inject/17]
    122 ?        S      0:00 [migration/17]
    123 ?        S      0:00 [ksoftirqd/17]
    125 ?        I<     0:00 [kworker/17:0H-events_highpri]
    126 ?        S      0:00 [cpuhp/18]
    127 ?        S      0:00 [idle_inject/18]
    128 ?        S      0:00 [migration/18]
    129 ?        S      0:00 [ksoftirqd/18]
    131 ?        I<     0:00 [kworker/18:0H-events_highpri]
    132 ?        S      0:00 [cpuhp/19]
    133 ?        S      0:00 [idle_inject/19]
    134 ?        S      0:00 [migration/19]
    135 ?        S      0:00 [ksoftirqd/19]
    137 ?        I<     0:00 [kworker/19:0H-events_highpri]
    138 ?        S      0:00 [cpuhp/20]
    139 ?        S      0:00 [idle_inject/20]
    140 ?        S      0:00 [migration/20]
    141 ?        S      0:00 [ksoftirqd/20]
    142 ?        I      0:00 [kworker/20:0-mm_percpu_wq]
    143 ?        I<     0:00 [kworker/20:0H-kblockd]
    144 ?        S      0:00 [cpuhp/21]
    145 ?        S      0:00 [idle_inject/21]
    146 ?        S      0:00 [migration/21]
    147 ?        S      0:00 [ksoftirqd/21]
    148 ?        I      0:00 [kworker/21:0-mm_percpu_wq]
    149 ?        I<     0:00 [kworker/21:0H-events_highpri]
    150 ?        S      0:00 [cpuhp/22]
    151 ?        S      0:00 [idle_inject/22]
    152 ?        S      0:00 [migration/22]
    153 ?        S      0:00 [ksoftirqd/22]
    154 ?        I      0:00 [kworker/22:0-cgroup_destroy]
    155 ?        I<     0:00 [kworker/22:0H-events_highpri]
    156 ?        S      0:00 [cpuhp/23]
    157 ?        S      0:00 [idle_inject/23]
    158 ?        S      0:00 [migration/23]
    159 ?        S      0:00 [ksoftirqd/23]
    160 ?        I      0:00 [kworker/23:0-mm_percpu_wq]
    161 ?        I<     0:00 [kworker/23:0H-events_highpri]
    162 ?        S      0:00 [cpuhp/24]
    163 ?        S      0:00 [idle_inject/24]
    164 ?        S      0:00 [migration/24]
    165 ?        S      0:00 [ksoftirqd/24]
    166 ?        I      0:00 [kworker/24:0-events]
    167 ?        I<     0:00 [kworker/24:0H-events_highpri]
    168 ?        S      0:00 [cpuhp/25]
    169 ?        S      0:00 [idle_inject/25]
    170 ?        S      0:00 [migration/25]
    171 ?        S      0:00 [ksoftirqd/25]
    173 ?        I<     0:00 [kworker/25:0H-events_highpri]
    174 ?        S      0:00 [cpuhp/26]
    175 ?        S      0:00 [idle_inject/26]
    176 ?        S      0:00 [migration/26]
    177 ?        S      0:00 [ksoftirqd/26]
    179 ?        I<     0:00 [kworker/26:0H-events_highpri]
    180 ?        S      0:00 [cpuhp/27]
    181 ?        S      0:00 [idle_inject/27]
    182 ?        S      0:00 [migration/27]
    183 ?        S      0:00 [ksoftirqd/27]
    184 ?        I      0:00 [kworker/27:0-mm_percpu_wq]
    185 ?        I<     0:00 [kworker/27:0H-events_highpri]
    186 ?        S      0:00 [cpuhp/28]
    187 ?        S      0:00 [idle_inject/28]
    188 ?        S      0:00 [migration/28]
    189 ?        S      0:00 [ksoftirqd/28]
    191 ?        I<     0:00 [kworker/28:0H-events_highpri]
    192 ?        S      0:00 [cpuhp/29]
    193 ?        S      0:00 [idle_inject/29]
    194 ?        S      0:00 [migration/29]
    195 ?        S      0:00 [ksoftirqd/29]
    197 ?        I<     0:00 [kworker/29:0H-events_highpri]
    198 ?        S      0:00 [cpuhp/30]
    199 ?        S      0:00 [idle_inject/30]
    200 ?        S      0:00 [migration/30]
    201 ?        S      0:00 [ksoftirqd/30]
    202 ?        I      0:00 [kworker/30:0-events]
    203 ?        I<     0:00 [kworker/30:0H-events_highpri]
    204 ?        S      0:00 [cpuhp/31]
    205 ?        S      0:00 [idle_inject/31]
    206 ?        S      0:00 [migration/31]
    207 ?        S      0:00 [ksoftirqd/31]
    209 ?        I<     0:00 [kworker/31:0H-events_highpri]
    212 ?        S      0:00 [kdevtmpfs]
    213 ?        I<     0:00 [kworker/R-inet_frag_wq]
    215 ?        S      0:00 [kauditd]
    216 ?        S      0:00 [khungtaskd]
    217 ?        S      0:00 [oom_reaper]
    218 ?        I      0:00 [kworker/u129:2-flush-259:6]
    219 ?        I<     0:00 [kworker/R-writeback]
    220 ?        S      0:00 [kcompactd0]
    221 ?        SN     0:05 [ksmd]
    222 ?        SN     0:00 [khugepaged]
    223 ?        I<     0:00 [kworker/R-kintegrityd]
    224 ?        I<     0:00 [kworker/R-kblockd]
    225 ?        I<     0:00 [kworker/R-blkcg_punt_bio]
    226 ?        S      0:00 [irq/9-acpi]
    227 ?        I      0:00 [kworker/2:1-mm_percpu_wq]
    228 ?        I      0:00 [kworker/16:1-mm_percpu_wq]
    229 ?        I<     0:00 [kworker/R-tpm_dev_wq]
    230 ?        I<     0:00 [kworker/R-ata_sff]
    231 ?        I<     0:00 [kworker/R-md]
    232 ?        I<     0:00 [kworker/R-md_bitmap]
    233 ?        I<     0:00 [kworker/R-edac-poller]
    235 ?        I<     0:00 [kworker/R-devfreq_wq]
    236 ?        S      0:00 [watchdogd]
    238 ?        I<     0:00 [kworker/16:1H-kblockd]
    239 ?        S      0:00 [irq/26-AMD-Vi]
    240 ?        I      0:00 [kworker/24:1-mm_percpu_wq]
    241 ?        S      0:00 [kswapd0]
    242 ?        S      0:00 [ecryptfs-kthread]
    243 ?        I<     0:00 [kworker/R-kthrotld]
    245 ?        I<     0:00 [kworker/R-acpi_thermal_pm]
    247 ?        I      0:00 [kworker/26:1-events]
    248 ?        I      0:00 [kworker/1:1-cgroup_destroy]
    249 ?        I<     0:00 [kworker/R-mld]
    250 ?        I<     0:00 [kworker/3:1H-kblockd]
    251 ?        I<     0:00 [kworker/R-ipv6_addrconf]
    256 ?        I      0:00 [kworker/25:5-cgroup_destroy]
    259 ?        I      0:00 [kworker/3:1-events]
    261 ?        I      0:00 [kworker/8:1-mm_percpu_wq]
    262 ?        I      0:00 [kworker/9:1-mm_percpu_wq]
    263 ?        I      0:00 [kworker/10:1-events]
    264 ?        I      0:00 [kworker/15:1-mm_percpu_wq]
    265 ?        I      0:00 [kworker/12:1-events]
    266 ?        I      0:00 [kworker/13:1-mm_percpu_wq]
    268 ?        I      0:00 [kworker/14:1-mm_percpu_wq]
    269 ?        I      0:00 [kworker/6:1-mm_percpu_wq]
    270 ?        I      0:00 [kworker/7:1-events]
    271 ?        I      0:00 [kworker/5:1-events]
    272 ?        I      0:00 [kworker/4:1-events_freezable]
    273 ?        I      0:00 [kworker/20:1-mm_percpu_wq]
    274 ?        I      0:00 [kworker/21:1-mm_percpu_wq]
    275 ?        I      0:00 [kworker/18:1-events]
    276 ?        I      0:00 [kworker/19:1-events]
    277 ?        I      0:00 [kworker/22:1-events]
    278 ?        I      0:00 [kworker/27:1-events]
    279 ?        I      0:00 [kworker/28:1-mm_percpu_wq]
    280 ?        I      0:00 [kworker/29:1-mm_percpu_wq]
    281 ?        I      0:00 [kworker/30:1-events]
    282 ?        I      0:00 [kworker/31:1-mm_percpu_wq]
    289 ?        I<     0:00 [kworker/R-kstrp]
    291 ?        I<     0:00 [kworker/u131:0-hci0]
    292 ?        I<     0:00 [kworker/u132:0]
    293 ?        I<     0:00 [kworker/u133:0-ttm]
    309 ?        I<     0:00 [kworker/R-charger_manager]
    310 ?        I<     0:00 [kworker/0:1H-kblockd]
    311 ?        S      0:00 [irq/27-ACPI:Event]
    312 ?        I<     0:00 [kworker/1:1H-kblockd]
    313 ?        S      0:00 [irq/28-ACPI:Event]
    314 ?        S      0:00 [irq/29-ACPI:Event]
   1988 ?        I<     0:00 [kworker/25:1H-kblockd]
   3225 ?        I<     0:00 [kworker/8:1H-kblockd]
   3226 ?        I<     0:00 [kworker/9:1H-kblockd]
   3229 ?        I<     0:00 [kworker/10:1H-kblockd]
   3232 ?        I<     0:00 [kworker/20:1H]
   3235 ?        I<     0:00 [kworker/11:1H-kblockd]
   3238 ?        I<     0:00 [kworker/12:1H-kblockd]
   3241 ?        I<     0:00 [kworker/5:1H-kblockd]
   3293 ?        I<     0:00 [kworker/13:1H-kblockd]
   3298 ?        I<     0:00 [kworker/14:1H-kblockd]
   3308 ?        I<     0:00 [kworker/15:1H-kblockd]
   3311 ?        I<     0:00 [kworker/24:1H-kblockd]
   3318 ?        I<     0:00 [kworker/26:1H-kblockd]
   3321 ?        I<     0:00 [kworker/27:1H-kblockd]
   3324 ?        I<     0:00 [kworker/28:1H-kblockd]
   3329 ?        I<     0:00 [kworker/29:1H-kblockd]
   3334 ?        I<     0:00 [kworker/30:1H-kblockd]
   3339 ?        I<     0:00 [kworker/31:1H-kblockd]
   3415 ?        I<     0:00 [kworker/2:1H-kblockd]
   3431 ?        I<     0:00 [kworker/4:1H-kblockd]
   3436 ?        I<     0:00 [kworker/6:1H-kblockd]
   3438 ?        I<     0:00 [kworker/23:1H-kblockd]
   3439 ?        I<     0:00 [kworker/18:1H-kblockd]
   3444 ?        I<     0:00 [kworker/19:1H-kblockd]
   3445 ?        I      0:00 [kworker/28:2-events]
   3446 ?        I<     0:00 [kworker/17:1H-kblockd]
   3447 ?        I<     0:00 [kworker/7:1H-kblockd]
   3469 ?        I<     0:00 [kworker/R-tls-strp]
   3477 ?        I<     0:00 [kworker/21:1H-kblockd]
   3491 ?        I<     0:00 [kworker/R-nvme-wq]
   3492 ?        I<     0:00 [kworker/R-nvme-reset-wq]
   3493 ?        I<     0:00 [kworker/R-nvme-delete-wq]
   3494 ?        I<     0:00 [kworker/R-nvme-auth-wq]
   3508 ?        S      0:00 [scsi_eh_0]
   3509 ?        I<     0:00 [kworker/R-scsi_tmf_0]
   3510 ?        S      0:00 [scsi_eh_1]
   3511 ?        I<     0:00 [kworker/R-scsi_tmf_1]
   3512 ?        S      0:00 [scsi_eh_2]
   3513 ?        I<     0:00 [kworker/R-scsi_tmf_2]
   3514 ?        S      0:00 [scsi_eh_3]
   3515 ?        I<     0:00 [kworker/R-scsi_tmf_3]
   3516 ?        S      0:00 [scsi_eh_4]
   3517 ?        I<     0:00 [kworker/R-scsi_tmf_4]
   3518 ?        S      0:00 [scsi_eh_5]
   3519 ?        I<     0:00 [kworker/R-scsi_tmf_5]
   3523 ?        S      0:00 [scsi_eh_6]
   3524 ?        I<     0:00 [kworker/R-scsi_tmf_6]
   3525 ?        S      0:00 [scsi_eh_7]
   3526 ?        I<     0:00 [kworker/R-scsi_tmf_7]
   3527 ?        S      0:00 [scsi_eh_8]
   3528 ?        I<     0:00 [kworker/R-scsi_tmf_8]
   3529 ?        S      0:00 [scsi_eh_9]
   3530 ?        I<     0:00 [kworker/R-scsi_tmf_9]
   3531 ?        S      0:00 [scsi_eh_10]
   3532 ?        I<     0:00 [kworker/R-scsi_tmf_10]
   3533 ?        S      0:00 [scsi_eh_11]
   3534 ?        I<     0:00 [kworker/R-scsi_tmf_11]
   3539 ?        I      0:00 [kworker/u129:12-writeback]
   3545 ?        I      0:00 [kworker/11:2-mm_percpu_wq]
   3547 ?        I      0:00 [kworker/17:2-events]
   3548 ?        I      0:00 [kworker/17:3-mm_percpu_wq]
   3551 ?        I      0:00 [kworker/16:2-events]
   3552 ?        I<     0:00 [kworker/22:1H-kblockd]
   3555 ?        I<     0:00 [kworker/R-mlx5_cmd_0000:01:00.0]
   3556 ?        I<     0:00 [kworker/R-mlx5_health0000:01:00.0]
   3557 ?        I<     0:00 [kworker/R-mlx5_page_allocator]
   3558 ?        I      0:00 [kworker/u128:2-mt76]
   3559 ?        I<     0:00 [kworker/R-mlx5_events]
   3560 ?        I<     0:00 [kworker/R-mlx5_fw_reset_events]
   3561 ?        I<     0:00 [kworker/R-mlx5_esw_wq]
   3562 ?        I<     0:00 [kworker/R-mlx5_vhca_event0]
   3563 ?        I<     0:00 [kworker/R-mlx5_vhca_event1]
   3564 ?        I<     0:00 [kworker/R-mlx5_vhca_event2]
   3565 ?        I<     0:00 [kworker/R-mlx5_vhca_event3]
   3566 ?        I<     0:00 [kworker/R-mlx5_vhca_event4]
   3567 ?        I<     0:00 [kworker/R-mlx5_vhca_event5]
   3568 ?        I<     0:00 [kworker/R-mlx5_vhca_event6]
   3569 ?        I<     0:00 [kworker/R-mlx5_vhca_event7]
   3570 ?        I<     0:00 [kworker/R-mlx5_fc]
   3571 ?        I<     0:00 [kworker/R-mlx5_fw_tracer]
   3572 ?        I<     0:00 [kworker/R-mlx5_hv_vhca]
   3574 ?        I<     0:00 [kworker/R-mlx5_lag]
   3575 ?        I<     0:00 [kworker/R-mlx5_lag_mp]
   3576 ?        I<     0:00 [kworker/R-mlx5e]
   3577 ?        I<     0:00 [kworker/R-mlx5e_arfs]
   3578 ?        I<     0:00 [kworker/R-mlx5_cmd_0000:01:00.1]
   3579 ?        I<     0:00 [kworker/R-mlx5_health0000:01:00.1]
   3580 ?        I<     0:00 [kworker/R-mlx5_page_allocator]
   3581 ?        I<     0:00 [kworker/R-mlx5_events]
   3582 ?        I<     0:00 [kworker/R-mlx5_fw_reset_events]
   3583 ?        I<     0:00 [kworker/R-mlx5_esw_wq]
   3584 ?        I<     0:00 [kworker/R-mlx5_vhca_event0]
   3585 ?        I<     0:00 [kworker/R-mlx5_vhca_event1]
   3586 ?        I<     0:00 [kworker/R-mlx5_vhca_event2]
   3587 ?        I<     0:00 [kworker/R-mlx5_vhca_event3]
   3588 ?        I<     0:00 [kworker/R-mlx5_vhca_event4]
   3589 ?        I<     0:00 [kworker/R-mlx5_vhca_event5]
   3590 ?        I<     0:00 [kworker/R-mlx5_vhca_event6]
   3591 ?        I<     0:00 [kworker/R-mlx5_vhca_event7]
   3592 ?        I<     0:00 [kworker/R-mlx5_fc]
   3593 ?        I<     0:00 [kworker/R-mlx5_fw_tracer]
   3594 ?        I<     0:00 [kworker/R-mlx5_hv_vhca]
   3595 ?        I<     0:00 [kworker/R-mlx5e]
   3596 ?        I<     0:00 [kworker/R-mlx5e_arfs]
   3609 ?        I<     0:00 [kworker/R-ib-comp-wq]
   3610 ?        I<     0:00 [kworker/R-ib-comp-unb-wq]
   3611 ?        I<     0:00 [kworker/R-ib_mcast]
   3612 ?        I<     0:00 [kworker/R-ib_nl_sa_wq]
   3614 ?        I<     0:00 [kworker/R-ib_mad1]
   3615 ?        I<     0:00 [kworker/R-mkey_cache]
   3616 ?        I<     0:00 [kworker/R-ib_mad1]
   3617 ?        I<     0:00 [kworker/R-mkey_cache]
   3639 ?        S      0:00 [jbd2/nvme0n1p2-8]
   3640 ?        I<     0:00 [kworker/R-ext4-rsv-conversion]
   3644 ?        I      0:00 [kworker/u130:2-flush-259:6]
   3685 ?        S<s    0:02 /lib/systemd/systemd-journald
   3717 ?        I      0:00 [kworker/1:2-mm_percpu_wq]
   3739 ?        Ss     0:00 /lib/systemd/systemd-udevd
   3777 ?        I      0:00 [kworker/5:2-events]
   3780 ?        I      0:00 [kworker/u130:5-flush-259:6]
   3782 ?        I      0:00 [kworker/u130:7-flush-259:6]
   3837 ?        I      0:00 [kworker/7:2-rcu_gp]
   3876 ?        I      0:00 [kworker/26:2-mm_percpu_wq]
   3901 ?        I<     0:00 [kworker/R-cryptd]
   3944 ?        I<     0:00 [kworker/R-cfg80211]
   4002 ?        Ss     0:01 /lib/systemd/systemd-oomd
   4005 ?        Ss     0:00 /lib/systemd/systemd-resolved
   4006 ?        I<     0:00 [kworker/u131:1-hci0]
   4008 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
   4022 ?        I      0:00 [kworker/19:3-events]
   4174 ?        I      0:00 [kworker/29:2-cgroup_destroy]
   4175 ?        I<     0:00 [kworker/R-nvkm-disp]
   4179 ?        I<     0:00 [kworker/R-ttm]
   4180 ?        S      0:00 [card0-crtc0]
   4181 ?        S      0:00 [card0-crtc1]
   4182 ?        S      0:00 [card0-crtc2]
   4183 ?        S      0:00 [card0-crtc3]
   4184 ?        I      0:00 [kworker/12:2-cgroup_destroy]
   4187 ?        Ssl    0:00 /usr/libexec/accounts-daemon
   4188 ?        Ss     0:00 /usr/sbin/acpid
   4190 ?        Ss     0:00 avahi-daemon: running [dev-server.local]
   4191 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
   4192 ?        Ss     0:00 /usr/bin/python3 /usr/bin/ceph-crash
   4194 ?        Ss     0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   4197 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
   4203 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
   4205 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   4208 ?        Ssl    0:00 /usr/libexec/polkitd --no-debug
   4210 ?        Ssl    0:00 /usr/libexec/power-profiles-daemon
   4212 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
   4216 ?        Ss     0:00 /usr/sbin/smartd -n
   4221 ?        Ssl    0:02 /usr/lib/snapd/snapd
   4224 ?        Ssl    0:00 /usr/libexec/switcheroo-control
   4228 ?        Ss     0:00 /lib/systemd/systemd-logind
   4229 ?        Ss     0:00 /lib/systemd/systemd-machined
   4231 ?        Ssl    0:00 /usr/libexec/udisks2/udisksd
   4232 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
   4239 ?        S      0:00 avahi-daemon: chroot helper
   4261 ?        Ssl    0:00 /usr/sbin/ModemManager
   4323 ?        I<     0:00 [kworker/R-amdgpu-reset-dev]
   4352 ?        Ss     0:00 /usr/sbin/cupsd -l
   4353 ?        I<     0:00 [kworker/R-ttm]
   4361 ?        Ss     0:00 ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
   4362 ?        Ss     0:00 ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
   4414 ?        Ssl    0:01 /usr/bin/containerd
   4430 ?        Ss     0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   4454 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   4455 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   4476 ?        S<sl   0:00 ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
   4508 ?        I<     0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   4509 ?        I<     0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   4510 ?        I<     0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
   4511 ?        I<     0:00 [kworker/R-dm_vblank_control_workqueue]
   4513 ?        S      0:00 [card1-crtc0]
   4514 ?        S      0:00 [card1-crtc1]
   4515 ?        S      0:00 [card1-crtc2]
   4516 ?        S      0:00 [card1-crtc3]
   4581 ?        S      0:00 [napi/phy0-8210]
   4583 ?        S      0:00 [napi/phy0-8211]
   4584 ?        S      0:00 [napi/phy0-8212]
   4733 ?        I      0:00 [kworker/18:2-events]
   4745 ?        S      0:00 [mt76-tx phy0]
   4816 ?        I      0:00 [kworker/10:2-cgroup_destroy]
   4840 ?        I      0:00 [kworker/23:2-events]
   4842 ?        Ssl    0:00 /usr/sbin/cups-browsed
   4843 ?        Ssl    0:02 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   4852 ?        Ss     0:00 /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
   4863 ?        Sl     0:00 /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
   4895 ?        I      0:00 [kworker/3:2-cgroup_destroy]
   5211 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/alertmanager.dev-server/unit.run
   5212 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/ceph-exporter.dev-server/unit.run
   5213 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash.dev-server/unit.run
   5215 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/grafana.dev-server/unit.run
   5217 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mgr.dev-server.jxbuda/unit.run
   5220 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mon.dev-server/unit.run
   5223 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/node-exporter.dev-server/unit.run
   5226 ?        Ss     0:00 /bin/bash /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/prometheus.dev-server/unit.run
